region	chr	midPos	Nsites
(748,1143)(270388,270801)(250000,300000)	JASDQU010010013.1	275000	397	0.109783
(186,2286)(154326,163240)(150000,200000)	JASDQU010010031.1	175000	2102	0.320896
(1521,1937)(191701,192313)(150000,200000)	JASDQU010010034.1	175000	418	0.003231
(566,1209)(211016,211698)(200000,250000)	JASDQU010010035.1	225000	645	0.131031
(574,1121)(150592,188476)(150000,200000)	JASDQU010010049.1	175000	549	0.041823
(1947,2371)(153670,154108)(150000,200000)	JASDQU010010054.1	175000	426	0.030399
(2179,2184)(66027,66033)(50000,100000)	JASDQU010010056.1	75000	7	0.034984
(486,1795)(163282,185209)(150000,200000)	JASDQU010010058.1	175000	1311	0.580034
(109,772)(248649,249514)(200000,250000)	JASDQU010010065.1	225000	665	0.512287
(773,791)(285346,285374)(250000,300000)	JASDQU010010065.1	275000	20	0.037339
(690,849)(75186,75345)(50000,100000)	JASDQU010010068.1	75000	161	0.063366
(137,514)(158930,160301)(150000,200000)	JASDQU010010086.1	175000	379	0.142896
(483,617)(53652,53786)(50000,100000)	JASDQU010010095.1	75000	136	0.323134
(149,874)(324741,331024)(300000,350000)	JASDQU010010118.1	325000	727	0.366530
(2726,2821)(88149,88260)(50000,100000)	JASDQU010010129.1	75000	97	0.085224
(180,486)(50892,51219)(50000,100000)	JASDQU010010137.1	75000	308	0.367236
(948,1800)(57758,58629)(50000,100000)	JASDQU010010145.1	75000	854	0.128356
(37,558)(248092,249184)(200000,250000)	JASDQU010010146.1	225000	523	0.139571
(559,1446)(250184,268125)(250000,300000)	JASDQU010010146.1	275000	889	0.059209
(1544,2271)(225270,227128)(200000,250000)	JASDQU010010155.1	225000	729	0.252789
(21,458)(335938,336413)(300000,350000)	JASDQU010010181.1	325000	439	0.046657
(1212,2336)(250000,251332)(250000,300000)	JASDQU010010184.1	275000	1126	0.207117
(1900,1929)(148724,148783)(100000,150000)	JASDQU010010186.1	125000	31	0.046861
(2337,2929)(50000,96362)(50000,100000)	JASDQU010010197.1	75000	594	0.254595
(4,318)(129002,129708)(100000,150000)	JASDQU010010218.1	125000	316	0.152823
(6466,6674)(100938,101147)(100000,150000)	JASDQU010010227.1	125000	210	0.239933
(315,1297)(77884,82432)(50000,100000)	JASDQU010010231.1	75000	984	0.008266
(1298,2935)(302127,303894)(300000,350000)	JASDQU010010231.1	325000	1639	0.086889
(2936,3547)(487306,487979)(450000,500000)	JASDQU010010231.1	475000	613	-0.008459
(3548,3797)(503232,503691)(500000,550000)	JASDQU010010231.1	525000	251	0.027834
(2153,2636)(120029,120535)(100000,150000)	JASDQU010010234.1	125000	485	0.373238
(193,1449)(194105,196436)(150000,200000)	JASDQU010010245.1	175000	1258	0.294294
(330,1117)(61988,62784)(50000,100000)	JASDQU010010265.1	75000	789	0.117213
(90,171)(209481,209612)(200000,250000)	JASDQU010010271.1	225000	83	0.045194
(172,722)(251353,251929)(250000,300000)	JASDQU010010271.1	275000	552	0.068317
(546,1431)(53704,54598)(50000,100000)	JASDQU010010292.1	75000	887	0.247812
(747,1225)(106785,107273)(100000,150000)	JASDQU010010310.1	125000	480	0.052308
